risk_id,title,description,severity,probability,impact,owner_team,mitigation,status
R01,HW3 vs HW4 Feature Gap,Growing number of features locked to HW4 only leaves HW3 fleet (est. 30% of vehicles) on a diverging software path. Risk of customer backlash and support burden as gap widens.,critical,high,high,autopilot-sw,Maintain HW3 feature parity list and publish clear deprecation timeline. Prioritise backports where feasible.,open
R02,Grok AI Beta Stability,Grok integration shipped as beta across multiple consecutive releases. Repeated reminder prompts and limited command support indicate backend readiness gaps that could degrade in-car UX.,high,medium,high,ai-sw,Gate next Grok expansion on P95 latency SLA < 2s. Require beta tag removal sign-off from Liam Torres.,open
R03,Regulatory Risk on Autonomous Features,FSD Supervised and upcoming hands-free features face evolving NHTSA and EU type-approval regulations. OTA recall history (5 recalls in dataset) shows exposure.,high,medium,high,autopilot-sw,Maintain regulatory watch list. All FSD feature releases require safety-sw and legal sign-off before OTA push.,open
R04,OTA Recall Recurrence,Dataset shows 3 OTA recall events (telltale text size, braking, FSD suspension). Pattern suggests insufficient pre-release regression on display-critical and braking code paths.,high,high,medium,safety-sw,Mandatory regression suite for any change touching braking, display text or FSD suspension before each release candidate.,open
R05,Rapid Release Cadence Causing Regression,118 versions in 3 years (~39/year) creates high merge pressure. Undocumented Changes (751 of 1782 features) suggest unplanned changes slipping through review.,medium,high,medium,all,Enforce feature freeze 10 days before release candidate. All undocumented changes require post-hoc ticket before next release.,open
R06,FSD Version Fragmentation,Multiple simultaneous FSD versions in field (v12.x and v13.x and v14.x active concurrently). Increases QA surface and complicates rollback decisions.,high,high,medium,autopilot-sw,Define max concurrent FSD versions in field as 2. Accelerate deprecation of v12.x branch.,open
R07,Supercharger Routing Dependency on Third-Party Data,Supercharger live maps and amenity data rely on real-time feeds. Outages or stale data affect trip planning accuracy and driver confidence.,medium,low,medium,nav-sw,Implement graceful degradation with cached last-known data. Alert Sara Okonkwo on feed latency > 5 min.,open
R08,Child and Pet Safety Feature Reliability,Child Left Alone Detection and Dog Mode are safety-critical. Any false-negative in cabin sensing could have life-safety consequences and legal exposure.,critical,low,critical,safety-sw,Priya Nair owns mandatory hardware-in-loop testing on every firmware change touching cabin radar and seat sensors.,open
R09,Bluetooth and Connectivity Regression,New Bluetooth menus and Wi-Fi diagnostics shipped across 4 releases show recurring updates suggesting instability. Phone key and ultra-wideband key issues could strand drivers.,medium,medium,medium,ai-sw,Add phone key connectivity to smoke test suite. Block release if P99 connection time regresses > 10%.,open
R10,Junior Coverage on Hardware-Critical Paths,Noah Kim (junior) is sole owner of lights and suspension firmware. Adaptive headlights and air suspension control failures are safety-adjacent. Bus factor of 1.,high,medium,high,hardware-sw,Pair Noah Kim with Priya Nair for all suspension and headlight code reviews. Document runbooks for on-call escalation.,open
